"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"On the Road","","Jack Kerouac","Fiction","http://books.google.com/books/content?id=4w1vQRkAVxYC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Follows the counterculture escapades of members of the Beat generation as they seek pleasure and meaning while traveling coast to coast.","2002","3.63","307","Follows the counterculture escapades of members of the Beat generation as they seek pleasure and meaning while traveling coast to coast."
"Winter's Heart","Book Nine of 'The Wheel of Time'","Robert Jordan","Fiction","http://books.google.com/books/content?id=4W5RQY_MiMEC&printsec=frontcover&img=1&zoom=1&source=gbs_api","In the continuing Wheel of Time saga, Rand and Min are on the run, while Black Tower leader Mazrim Taim is exposed, a Seanchan princess arrives in Ebou Dar and the schemers of the White Tower are beset by rebels.","2002","3.94","780","In the continuing Wheel of Time saga, Rand and Min are on the run, while Black Tower leader Mazrim Taim is exposed, a Seanchan princess arrives in Ebou Dar and the schemers of the White Tower are bese"
"Floating Dragon","","Peter Straub","Fiction","http://books.google.com/books/content?id=4WI-veLZdcsC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The quaint town of Hamptead is plunged into a nightmarish world of unspeakable horror when evil arrives in the form of two very different beings--one man-made and one supernatural. Reissue.","2003","3.84","595","The quaint town of Hamptead is plunged into a nightmarish world of unspeakable horror when evil arrives in the form of two very different beings--one man-made and one supernatural. Reissue."
"You On A Diet","The Owner's Manual for Waist Management","M. D. Roizen (Michael F.);Michael F. Roizen","Reducing diets","http://books.google.com/books/content?id=4wRJwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The only way that dieting can work is to make eating so easy and automatic that you never even realize that you're dieting. Through their entertaining style, Drs. Roizen and Oz teach you about your body.","2006","3.65","370","The only way that dieting can work is to make eating so easy and automatic that you never even realize that you're dieting. Through their entertaining style, Drs. Roizen and Oz teach you about your bo"
"Piercing the Darkness","","Frank E. Peretti","Fiction","http://books.google.com/books/content?id=4wTFWMPhNn0C&printsec=frontcover&img=1&zoom=1&source=gbs_api","In the tiny farming community of Bacon's Corner, an attempted murder, a case of mistaken identity, and a lawsuit against a struggling Christian school all lead Sally Beth Roe to flee for her life","2003","4.31","448","In the tiny farming community of Bacon's Corner, an attempted murder, a case of mistaken identity, and a lawsuit against a struggling Christian school all lead Sally Beth Roe to flee for her life"
"A Very Long Engagement","","S̩bastien Japrisot","Feature films [DVD]","http://books.google.com/books/content?id=4XejAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","One bitter night in January 1917, five French soldiers are court-martialled and sent into No-Man's Land. Days later, five corpses are given a hasty burial. After the war, the fianc̩e of one of the men sets out to discover what happened.","2004","3.91","320","One bitter night in January 1917, five French soldiers are court-martialled and sent into No-Man's Land. Days later, five corpses are given a hasty burial. After the war, the fianc̩e of one of the me"
"Every cloud has a silver lining","","Anne Mazer","Diaries","http://books.google.com/books/content?id=4XVUmgYuvTMC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Abby Hayes is starting fifth grade. Her supersibs, the perfect older twins and her genius little brother, have already proved their Hayes worthiness. This is going to be Abby's year ... and she's going to record every moment of it.","2001","3.93","118","Abby Hayes is starting fifth grade. Her supersibs, the perfect older twins and her genius little brother, have already proved their Hayes worthiness. This is going to be Abby's year ... and she's goin"
"Naked Empire","","Terry Goodkind","Fiction","http://books.google.com/books/content?id=4XXMP6Wo2fQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A poisoned Richard Rahl faces a difficult choice when he is promised an antidote and the salvation of an endangered empire if he will surrender his beloved wife, Kahlan Amnell, to his enemy, in a new adventure in the Sword of Truth series. Reprint.","2004","3.82","736","A poisoned Richard Rahl faces a difficult choice when he is promised an antidote and the salvation of an endangered empire if he will surrender his beloved wife, Kahlan Amnell, to his enemy, in a new "
"Wooden: A Lifetime of Observations and Reflections On and Off the Court","","John Wooden","Biography & Autobiography","http://books.google.com/books/content?id=4XXymAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","NATIONAL BESTSELLER ""I am just a common man who is true to his beliefs.""--John Wooden Evoking days gone by when coaches were respected as much for their off-court performances as for their success on the court, Wooden presents the timeless wisdom of legendary basketball coach John Wooden. In honest and telling passages about virtually every aspect of life, Coach shares his personal philosophy on family, achievement, success, and excellence. Raised on a small farm in south-central Indiana, he offers lessons and wisdom learned throughout his career at UCLA, and life as a dedicated husband, father, and teacher. These lessons, along with personal letters from Bill Walton, Denny Crum, Kareem Abdul-Jabbar, and Bob Costas, among others, have made Wooden: A Lifetime of Observations and Reflections on and off the Court an inspirational classic.","1997","4.45","201","NATIONAL BESTSELLER ""I am just a common man who is true to his beliefs.""--John Wooden Evoking days gone by when coaches were respected as much for their off-court performances as for their success on "
"The Echo Maker","A Novel","Richard Powers","Fiction","http://books.google.com/books/content?id=4yk5CoXe67oC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Twenty-seven-year-old Mark Schluter, suffering from a rare brain disorder that causes him to believe his sister to be an impostor, endeavors to discover the cause of the motor vehicle accident that resulted in his head injury.","2006","3.37","451","Twenty-seven-year-old Mark Schluter, suffering from a rare brain disorder that causes him to believe his sister to be an impostor, endeavors to discover the cause of the motor vehicle accident that re"
"Wings of Fire","","Charles Todd","Fiction","http://books.google.com/books/content?id=4yoOmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Inspector Ian Rutledge is quickly sent to investigate the sudden deaths of three members of the same eminent Cornwall family, but the World War I veteran soon realizes that nothing about this case is routine. Including the identity of one of the dead, a reclusive spinster unmasked as O. A. Manning, whose war poetry helped Rutledge retain his grasp on sanity in the trenches of France. Guided by the voice of Hamish, the Scot he unwillingly executed on the battlefield, Rutledge is driven to uncover the haunting truths of murder and madness rooted in a family crypt...","1999","3.99","306","Inspector Ian Rutledge is quickly sent to investigate the sudden deaths of three members of the same eminent Cornwall family, but the World War I veteran soon realizes that nothing about this case is "
